wordResult,Freq
automakers,1
autonomous,1
availability,1
avert,1
avoiding,1
aware,1
az,1
bach,1
backstage,1
bacterial,1
baggage,1
bahamas,1
balart,1
balearic,1
barcelona,1
barrels,1
barring,1
barron,1
basic,1
battle,1
bayer,1
beach,1
beauty,1
bego,1
behaviour,1
beijing,1
bein,1
beirut,1
belarus,1
belfast,1
belgium,1
believes,1
ben,1
benefits,1
bergamo,1
berlin,1
beware,1
bigotry,1
biosecurity,1
bloc,1
blocking,1
bloomingdale,1
bloomingdales,1
blossom,1
bluemercury,1
bmw,1
boat,1
body,1
bogot,1
bolsnaro,1
bonuses,1
boone,1
boost,1
borreli,1
borrow,1
borussia,1
bosses,1
bouches,1
bound,1
braemar,1
brasilia,1
brazil,1
bridgewater,1
briefed,1
bright,1
brittany,1
budget,1
bureau,1
burnett,1
cabinet,1
cabrita,1
calamity,1
calderwood,1
calendar,1
cambridge,1
canary,1
cancelations,1
canceled,1
canel,1
captionthe,1
cards,1
careful,1
caribbean,1
carney,1
carriers,1
carrying,1
carve,1
casualty,1
catastrophic,1
categories,1
cathay,1
catherine,1
catholic,1
caused,1
celebrated,1
celebration,1
celebratory,1
centres,1
certificates,1
challenge,1
change,1
changer,1
channel,1
charania,1
charri,1
charter,1
checkpoints,1
chef,1
chemotherapy,1
cheques,1
cher,1
chicago,1
choose,1
churches,1
circulating,1
cirque,1
cities,1
citizen,1
claims,1
cleveland,1
click,1
climbed,1
clinicians,1
clos,1
closings,1
closures,1
clubs,1
clues,1
cluster,1
cn,1
coaching,1
coalition,1
code,1
coe,1
collaborating,1
collapsed,1
college,1
colorado,1
columbia,1
combination,1
command,1
commercial,1
commissioner,1
committed,1
commons,1
communist,1
community,1
competition,1
completion,1
compounded,1
concern,1
conferences,1
confirm,1
confirming,1
confused,1
confusion,1
conman,1
connections,1
connectivity,1
consent,1
conservationists,1
consist,1
consulates,1
consult,1
contagion,1
contained,1
contaminated,1
continued,1
contradicting,1
controls,1
cools,1
coronanvirus,1
corporation,1
correction,1
correspondence,1
counter,1
counterfeit,1
counties,1
courage,1
cr,1
craft,1
craig,1
created,1
credit,1
crews,1
cricketer,1
crippling,1
crucial,1
crude,1
cruises,1
cusp,1
customs,1
cutbacks,1
cutting,1
cyril,1
damaged,1
danger,1
dani,1
daniele,1
database,1
dead,1
deadline,1
deadly,1
dealer,1
debated,1
deborah,1
deceased,1
decide,1
decimate,1
declaring,1
declined,1
decreasing,1
defence,1
defer,1
defying,1
delaware,1
delaying,1
delays,1
deliberately,1
delivered,1
delivery,1
democrat,1
denis,1
denmark,1
densely,1
dependent,1
deployed,1
depression,1
der,1
dermot,1
designated,1
designed,1
develop,1
developed,1
device,1
dewine,1
di,1
diagnose,1
diagnosis,1
diaz,1
difference,1
difficulty,1
digit,1
dine,1
diplomats,1
dire,1
directive,1
directorate,1
discomfort,1
discourage,1
discussion,1
disembarked,1
displaced,1
disproportional,1
distillery,1
distr,1
distributing,1
diverted,1
dmitry,1
dnata,1
docked,1
dog,1
dollars,1
domestically,1
dominic,1
domino,1
donate,1
donating,1
donors,1
doors,1
double,1
doubt,1
dozen,1
dozens,1
drafted,1
dramatic,1
dramatically,1
drawdown,1
drawings,1
drive,1
driven,1
driver,1
drives,1
drop,1
durant,1
durkan,1
dutch,1
earliest,1
easter,1
ecb,1
economist,1
ecuador,1
editor,1
edouard,1
eduardo,1
educational,1
effective,1
elementary,1
eliminated,1
elise,1
elite,1
email,1
embassies,1
employed,1
employing,1
empty,1
en,1
endangered,1
endowment,1
energy,1
enhanced,1
enrollment,1
entered,1
epidemiologist,1
equip,1
escalate,1
escalated,1
escape,1
esmaili,1
establishments,1
ethiopian,1
euclid,1
euro,1
evictions,1
exceeded,1
exchange,1
exciting,1
exclusively,1
execs,1
exempt,1
exercise,1
exercises,1
exhaustion,1
exist,1
expects,1
experience,1
experts,1
exposure,1
express,1
extend,1
extending,1
extraordinary,1
extremely,1
fa,1
facebook,1
facility,1
fahrettin,1
faki,1
fallen,1
falls,1
FALSE,1
famed,1
faroe,1
faster,1
fatal,1
fatalities,1
federally,1
federation,1
fell,1
ferrari,1
ferries,1
fewer,1
fiat,1
fighting,1
fiji,1
finance,1
findings,1
fine,1
fiore,1
fired,1
firms,1
flagship,1
flame,1
fleet,1
flock,1
flocked,1
flower,1
flu,1
fnomceo,1
forced,1
foreclosures,1
foreseeable,1
form,1
forming,1
framework,1
fraudsters,1
freddi,1
freed,1
freeman,1
freight,1
frequently,1
fresh,1
fry,1
ft,1
fuller,1
functioning,1
fundamentally,1
funds,1
furloughed,1
furloughing,1
future,1
futures,1
gallon,1
gambia,1
gareth,1
garros,1
gas,1
gear,1
gel,1
generation,1
genetic,1
geneva,1
germans,1
ghana,1
gholamhossein,1
globe,1
gloves,1
goldstein,1
golf,1
google,1
gorillas,1
gotabaya,1
governorates,1
gracie,1
grant,1
gridlock,1
grinding,1
grinds,1
grow,1
guam,1
guaranteed,1
guatemala,1
guernsey,1
guidelines,1
guy,1
ha,1
habits,1
habsburg,1
hall,1
halted,1
hanami,1
hancock,1
hands,1
hans,1
happened,1
happening,1
hardest,1
hardship,1
hardships,1
harlow,1
hartsfield,1
hasn,1
hassan,1
havana,1
headed,1
headers,1
heading,1
heavily,1
hedge,1
heeded,1
heels,1
helene,1
henri,1
heymann,1
highlighted,1
highway,1
hire,1
hk,1
hogan,1
holders,1
hollingsworth,1
homeless,1
homeowner,1
honda,1
honest,1
hopeful,1
hopes,1
hopkins,1
horst,1
hosted,1
hot,1
housekeepers,1
https,1
hub,1
hubert,1
huge,1
hurts,1
iceland,1
iconic,1
idea,1
ikea,1
illegal,1
illinois,1
illustrated,1
immigration,1
impacting,1
implement,1
implemented,1
imported,1
importing,1
impose,1
imposing,1
incoming,1
inconvenience,1
increases,1
increasingly,1
indefinitely,1
independence,1
individuals,1
influenza,1
informed,1
inhibit,1
initially,1
initiate,1
inmate,1
instagram,1
instances,1
intense,1
internet,1
intervention,1
interview,1
introduce,1
introduced,1
introduces,1
invited,1
invoking,1
involve,1
iraq,1
isle,1
isolating,1
iv,1
ivan,1
jackson,1
jahanpour,1
jair,1
jarrow,1
jasarevic,1
jay,1
jazz,1
jeane,1
jenny,1
jeopardize,1
jerome,1
jfk,1
job,1
joe,1
johns,1
join,1
joined,1
jordanian,1
journeys,1
judiciary,1
justice,1
juve,1
karl,1
karrenbauer,1
kassim,1
kate,1
kcdc,1
kennedy,1
kent,1
kianoush,1
kicking,1
kill,1
kills,1
kluge,1
knowledge,1
ko,1
koca,1
koorakula,1
korean,1
kovacs,1
kramp,1
la,1
labor,1
lamont,1
landmarks,1
language,1
lanka,1
lankan,1
larem,1
larger,1
larry,1
latin,1
launch,1
launched,1
launching,1
laura,1
layoffs,1
le,1
leap,1
lebanon,1
legal,1
letter,1
letters,1
leukaemia,1
levels,1
leyen,1
lga,1
licences,1
licensed,1
liechtenstein,1
lifesaving,1
liga,1
lightly,1
limiting,1
limits,1
link,1
linked,1
list,1
lner,1
lock,1
lombardy,1
loosened,1
los,1
losses,1
lost,1
loved,1
lovely,1
lower,1
lr,1
lufthansa,1
lulled,1
mabele,1
macao,1
machines,1
mahal,1
main,1
majaliwa,1
malaria,1
malaysian,1
managed,1
managers,1
managing,1
manal,1
manchester,1
manchin,1
mandate,1
mandating,1
manila,1
mans,1
manufacturer,1
mapping,1
mariel,1
mario,1
maritime,1
markovi,1
marshals,1
maryland,1
mask,1
matagorda,1
matt,1
matter,1
matuidi,1
mauritius,1
mcadams,1
meal,1
meat,1
medicines,1
melbourne,1
merseyside,1
messages,1
methods,1
mexico,1
mez,1
michel,1
michigan,1
midday,1
midst,1
midway,1
midwives,1
miguel,1
mikhail,1
mild,1
millennial,1
ministe,1
minnesota,1
minnis,1
minutes,1
mirziyoyev,1
mishustin,1
missions,1
missouri,1
mobilize,1
model,1
modeling,1
moeed,1
mogadishu,1
mohamed,1
moments,1
monchengladbach,1
montenegro,1
monument,1
moroccan,1
mortgages,1
moscow,1
motor,1
moved,1
movements,1
mps,1
ms,1
muhyiddin,1
mulhouse,1
murillo,1
mutual,1
naming,1
nancy,1
nando,1
nashville,1
nato,1
ncdc,1
nchez,1
ncov,1
ncovh,1
ne,1
nebraska,1
ned,1
neighboring,1
neurone,1
nevada,1
newspapers,1
nicaragua,1
nigeria,1
nissan,1
normal,1
norway,1
norwegian,1
note,1
noting,1
nursing,1
nypd,1
nyse,1
oak,1
observation,1
obtaining,1
occurred,1
occurrence,1
offenses,1
offer,1
offering,1
officer,1
offices,1
officially,1
ohio,1
oil,1
oklahoma,1
option,1
options,1
oregon,1
organisation,1
organizers,1
originated,1
origins,1
orlando,1
orleans,1
orthodontists,1
osborne,1
ottawa,1
outbound,1
outcome,1
outlet,1
outline,1
outlined,1
outlining,1
overcrowded,1
overcrowding,1
overseas,1
overtaken,1
owners,1
oxford,1
pa,1
pacific,1
packages,1
palace,1
palliative,1
panic,1
paris,1
parson,1
partial,1
partially,1
participate,1
parties,1
pass,1
pathogen,1
patrick,1
paulo,1
paused,1
pausing,1
payments,1
peace,1
permanent,1
permit,1
permits,1
personal,1
peru,1
peruvian,1
peruvians,1
pesksov,1
petra,1
pharmaceutical,1
pharmacist,1
pharmacy,1
phenomenology,1
philippe,1
phone,1
phosphate,1
phw,1
pistons,1
pizza,1
planes,1
plastic,1
play,1
playback,1
played,1
pm,1
pna,1
pneumonia,1
poems,1
political,1
pompeo,1
pool,1
poor,1
poppy,1
popular,1
population,1
port,1
portsmouth,1
position,1
positives,1
posted,1
posts,1
potential,1
powis,1
praised,1
prayers,1
precaut,1
predicted,1
predicts,1
preemptive,1
preexisting,1
premise,1
prepares,1
preparing,1
presidential,1
pressed,1
price,1
primark,1
prince,1
principality,1
principals,1
printing,1
prioritize,1
prison,1
prisons,1
procedure,1
proceed,1
produce,1
producers,1
professionals,1
professor,1
prohibited,1
projectiles,1
proof,1
proposes,1
prosecuting,1
prospect,1
protecting,1
protests,1
psychologic,1
purchasing,1
purpose,1
pushing,1
quadrennial,1
quality,1
quarter,1
queen,1
question,1
quotes,1
raab,1
races,1
rail,1
raised,1
rajapaksa,1
ramaphosa,1
ramp,1
rare,1
rarely,1
rcd,1
readiness,1
ready,1
realm,1
rearranged,1
receive,1
reckons,1
recognized,1
recommendations,1
recommending,1
recovered,1
recovery,1
recreation,1
recreational,1
reduce,1
referendum,1
refugees,1
refunding,1
regional,1
registering,1
regulation,1
reinforce,1
reiterated,1
relates,1
relay,1
releasing,1
remainder,1
remains,1
remarks,1
reminding,1
repatriate,1
repeatedly,1
representatives,1
representing,1
represents,1
republican,1
requiring,1
reserves,1
residency,1
resort,1
responding,1
responds,1
responses,1
responsibility,1
restocked,1
restricting,1
retake,1
retired,1
retreat,1
return,1
revenue,1
rh,1
richest,1
ride,1
rising,1
rki,1
roberto,1
rocchio,1
roles,1
rolland,1
rolled,1
rosario,1
rouhani,1
routine,1
ruby,1
rugani,1
ruler,1
rumours,1
running,1
runs,1
ruston,1
rwanda,1
ryan,1
sadiq,1
safely,1
safer,1
safet,1
safeway,1
saint,1
salaries,1
samad,1
sanitisers,1
sanitizer,1
santander,1
sao,1
sars,1
saving,1
scaling,1
scammers,1
scene,1
scenes,1
science,1
scientific,1
screening,1
sealed,1
sealing,1
seattle,1
sebastian,1
secamb,1
secondary,1
secured,1
seehofer,1
seekers,1
seine,1
select,1
selfishly,1
sell,1
selling,1
sen,1
sense,1
serge,1
serie,1
serving,1
sevenzeroeight,1
shams,1
shane,1
shavkat,1
shea,1
shelves,1
ships,1
shoot,1
shops,1
shortage,1
shutdowns,1
sick,1
sign,1
signed,1
silicon,1
silvia,1
singaporean,1
slammed,1
slashed,1
snowdonia,1
soared,1
soldiers,1
soleil,1
somali,1
somalia,1
somber,1
sonoma,1
soukous,1
sources,1
sousse,1
southern,1
sovereign,1
spaces,1
spaniards,1
sparked,1
speaks,1
speranza,1
spokeswoman,1
sport,1
sports,1
spotlight,1
spreads,1
spring,1
springs,1
spurred,1
staffers,1
stainless,1
stands,1
stat,1
stated,1
stateless,1
staunch,1
staying,1
stays,1
steel,1
step,1
steps,1
stewart,1
stick,1
stockpiled,1
stops,1
strained,1
streamed,1
streaming,1
strengthen,1
strengthening,1
stress,1
student,1
stumbling,1
submitted,1
subsequent,1
subsidize,1
sue,1
suffer,1
sufficient,1
suleiman,1
supple,1
supports,1
surfaces,1
surgical,1
surrounding,1
surveillance,1
sushi,1
suspected,1
swath,1
sweeps,1
swiss,1
sydney,1
sylvie,1
ta,1
tables,1
tablets,1
tackling,1
taj,1
takeout,1
talent,1
tarik,1
tasnim,1
tax,1
taxi,1
technicians,1
technology,1
teissier,1
telle,1
tens,1
tensions,1
term,1
terminal,1
tesco,1
texas,1
text,1
tha,1
thanet,1
theaters,1
thomas,1
throwing,1
thunder,1
tickets,1
timetables,1
tiny,1
tjmaxx,1
togo,1
tom,1
tomorrow,1
tools,1
topographic,1
tough,1
tougher,1
toughest,1
tourist,1
tournament,1
tournaments,1
tours,1
tower,1
town,1
toyota,1
trace,1
tracked,1
trading,1
tradition,1
trails,1
transatlantic,1
transferred,1
transiting,1
transitional,1
transmission,1
transmissions,1
transpennine,1
transported,1
transporting,1
traveler,1
traveller,1
travelling,1
treated,1
treating,1
treatment,1
trends,1
triple,1
TRUE,1
trusted,1
tube,1
tuner,1
turkey,1
turkish,1
turmoil,1
turner,1
tv,1
tweeted,1
tyrol,1
uber,1
ultimate,1
ultimately,1
umbrella,1
unaware,1
underest,1
underestimate,1
undergo,1
undergoing,1
understood,1
undertaken,1
uneasy,1
unhcr,1
unicef,1
unicorn,1
unions,1
unprecedented,1
unreasonable,1
unrecognized,1
unsupported,1
unveil,1
unveiling,1
unwell,1
upcoming,1
urgency,1
urges,1
ursula,1
usual,1
uzbekistan,1
valley,1
varna,1
vauxhall,1
vegetable,1
venezuela,1
ventec,1
ventilator,1
video,1
viewing,1
viewings,1
virtual,1
viruses,1
visas,1
visiting,1
vital,1
vladimir,1
voice,1
volkswagen,1
voluntary,1
vouchers,1
waived,1
walk,1
walz,1
war,1
warne,1
warns,1
washingtonians,1
wave,1
wear,1
weinstein,1
welfare,1
western,1
whi,1
wide,1
wielded,1
williamson,1
winner,1
wolf,1
wolfson,1
worker,1
worried,1
worsening,1
wrexham,1
written,1
wrote,1
wta,1
yacht,1
yashwanth,1
yassin,1
yorkers,1
yousuf,1
zanzibar,1
zoltan,1
