myfile,Freq
没有,432
可以,424
如果,342
感染,261
症状,227
问题,224
医院,217
病情,216
肺炎,215
资料,214
可能,213
感谢,207
详细,206
检查,203
信任,201
阅读,201
CT,192
需要,179
治疗,174
病毒,167
建议,154
这个,154
什么,144
一般,144
新冠,138
或者,125
不要,121
考虑,121
复查,117
发热,112
不用,110
不会,101
体温,101
一下,99
接触,97
肺部,95
应该,93
咳嗽,91
目前,89
情况,88
炎症,87
胸部,85
感冒,84
观察,83
担心,82
冠状,82
注意,82
排除,80
正常,78
常规,75
报告,73
病人,72
比较,70
能性,70
细胞,68
客气,67
引起,67
一定,65
主要,65
确诊,64
时间,64
我们,63
不能,62
明显,62
核酸,61
关系,58
结核,58
紧张,58
药物,57
这样,57
不好,54
服用,54
所以,54
检测,53
一个,53
表现,52
没事,52
患者,50
焦虑,50
不大,49
呼吸,49
传染,47
对症,47
放心,47
结果,47
心情,47
医生,46
因为,46
有些,46
现在,45
这种,44
出现,43
最好,43
疾病,42
触史,41
结节,40
免疫,40
吸道,40
消炎,40
怎么,40
支气,40
放松,39
沙星,39
自己,39
ct,38
乏力,38
抗生,38
新型,38
继续,37
普通,37
休息,37
一些,36
这些,36
吃药,35
处理,35
严重,35
你现,34
效果,34
口罩,33
明确,33
提示,33
原因,33
根据,32
抗炎,32
莫西,32
疼痛,32
影响,32
只能,32
肺功,31
隔离,31
喝水,31
胸闷,31
异常,31
只要,31
管炎,30
心理,30
暂时,30
帮助,29
病灶,29
发病,29
肯定,29
拉唑,29
门诊,29
特别,29
咨询,29
看看,28
身体,28
生素,28
时候,28
受凉,28
说明,28
调整,28
吸收,28
必要,27
发烧,27
片子,27
确实,27
容易,27
细菌,27
导致,26
感觉,26
干咳,26
睡眠,26
心慌,26
心脏,26
有点,26
有关,26
这么,26
当地,25
反应,25
功能,25
就行,25
一点,25
饮食,25
诊断,25
健康,24
咳痰,24
慢性,24
完全,24
咽炎,24
一次,24
疫情,24
知道,24
奥美,23
多久,23
看到,23
你们,23
清楚,23
然后,23
胸片,23
用点,23
比如,22
那么,22
上呼,22
一样,22
用药,22
有接,22
安全,21
恢复,21
尽量,21
舒服,21
特殊,21
下降,21
消化,21
一步,21
因素,21
防护,20
服液,20
就会,20
联系,20
描述,20
培养,20
适当,20
胃药,20
血常,20
专家,20
发给,19
过于,19
基本,19
几天,19
控制,19
临床,19
每天,19
相关,19
胸膜,19
咽痛,19
以前,19
运动,19
住院,19
吃点,18
电图,18
化验,18
就诊,18
开水,18
流感,18
流行,18
升高,18
完善,18
武汉,18
系统,18
胸痛,18
直接,18
最近,18
做好,18
病例,17
常见,17
蛋白,17
当然,17
多少,17
过程,17
具体,17
那些,17
平时,17
气道,17
拭子,17
首先,17
已经,17
饮水,17
增强,17
中药,17
阿奇,16
地方,16
电话,16
腹泻,16
工作,16
国家,16
喝白,16
激素,16
劳累,16
每次,16
判断,16
我看,16
周后,16
办法,15
典型,15
非常,15
加重,15
觉得,15
口服,15
困难,15
买点,15
那个,15
确定,15
日康,15
生活,15
试验,15
睡觉,15
随时,15
我觉,15
洗手,15
小时,15
谢谢,15
以后,15
疫区,15
真菌,15
之前,15
肿瘤,15
左右,15
避免,14
多数,14
肺癌,14
过度,14
合理,14
缓解,14
急性,14
抗体,14
慢慢,14
霉素,14
密切,14
使用,14
属于,14
太紧,14
头痛,14
无法,14
希望,14
一天,14
一种,14
以先,14
以用,14
原体,14
只有,14
作用,14
阿莫,13
变化,13
大夫,13
低热,13
而且,13
感冒药,13
湖北,13
会有,13
家里,13
结合,13
局部,13
内科,13
清瘟,13
上班,13
手术,13
水果,13
酸痛,13
他们,13
西林,13
西替,13
吸烟,13
相似,13
小区,13
心里,13
血管,13
阳性,13
意思,13
有效,13
自身,13
本来,12
不高,12
不行,12
超过,12
出血,12
定期,12
方案,12
符合,12
管镜,12
过敏,12
好转,12
肌肉,12
今天,12
进行,12
其实,12
清淡,12
时期,12
咽喉,12
以上,12
之后,12
奥司,11
鼻塞,11
必须,11
不过,11
不像,11
部分,11
查一,11
出来,11
低烧,11
东西,11
范围,11
方便,11
服药,11
改善,11
回复,11
活动,11
机体,11
家人,11
近期,11
精神,11
决定,11
抗力,11
排查,11
轻度,11
人都,11
甚至,11
食物,11
温度,11
下午,11
心态,11
一段,11
意力,11
阴性,11
预约,11
指导,11
周围,11
做个,11
做过,11
保证,10
鼻炎,10
查血,10
抽血,10
抽烟,10
刺激,10
大便,10
发现,10
反复,10
肺气,10
风险,10
规律,10
过来,10
回答,10
激性,10
监测,10
康唑,10
抗过,10
流涕,10
哪个,10
那里,10
气管,10
请问,10
去过,10
人员,10
嗓子,10
事情,10
试试,10
太多,10
通过,10
胃管,10
胃炎,10
仔细,10
支持,10
治愈,10
病史,9
不到,9
彩超,9
从症,9
发过,9
否有,9
伏立,9
辅助,9
哈哈,9
还要,9
护理,9
解决,9
尽快,9
就要,9
看有,9
抗病,9
蓝芩,9
利嗪,9
莲花,9
期间,9
起来,9
情绪,9
人群,9
失眠,9
损伤,9
体质,9
下血,9
学史,9
要查,9
一片,9
一笑,9
医学,9
营养,9
早点,9
证据,9
重要,9
状态,9
做血,9
保持,8
病变,8
病理,8
病症,8
部位,8
查查,8
出门,8
单纯,8
地区,8
第一,8
多人,8
反流,8
方法,8
肺栓,8
复发,8
给予,8
根本,8
更好,8
回来,8
肌炎,8
胶囊,8
联检,8
每个,8
免疫力,8
你家,8
你想,8
尿病,8
气肿,8
缺血,8
人家,8
任何,8
上次,8
停药,8
停用,8
同时,8
晚上,8
未见,8
稳定,8
吸科,8
哮喘,8
医保,8
医药,8
依据,8
疑似,8
以及,8
应性,8
有特,8
原菌,8
指标,8
重症,8
状来,8
自然,8
自我,8
crp,7
OK,7
按照,7
孢克,7
北京,7
病程,7
波动,7
不适,7
不算,7
不同,7
传染性,7
存在,7
大部,7
戴口,7
低下,7
改变,7
概率,7
高血,7
好评,7
喝点,7
环境,7
集性,7
剂量,7
简单,7
就好,7
咳药,7
可是,7
克拉,7
恐慌,7
没用,7
年龄,7
暖心,7
拍个,7
强化,7
清热,7
全身,7
人有,7
实在,7
所谓,7
所致,7
天天,7
推荐,7
性心,7
性质,7
修复,7
选择,7
血沉,7
压力,7
以去,7
异性,7
疫力,7
影像,7
尤其,7
由于,7
有血,7
有症,7
暂不,7
早搏,7
造成,7
正规,7
转移,7
左氧氟,7
孢丙烯,6
保护,6
保暖,6
报道,6
抱歉,6
毕竟,6
哺乳,6
持续,6
促进,6
代谢,6
第二,6
毒性,6
锻炼,6
饭后,6
方面,6
肺寒,6
肺科,6
肺上,6
复方,6
各种,6
根治,6
更换,6
估计,6
挂号,6
关注,6
冠病,6
何况,6
红霉,6
后面,6
怀疑,6
患病,6
积极,6
基础,6
加混,6
减少,6
接着,6
进展,6
近有,6
经常,6
经过,6
经有,6
警惕,6
静脉,6
就去,6
距离,6
看过,6
看下,6
抗菌,6
抗真,6
科门,6
可疑,6
恐惧,6
扩张,6
理解,6
厉害,6
良性,6
淋巴,6
铝镁,6
马上,6
冒药,6
没法,6
绵阳,6
敏性,6
敏药,6
明天,6
那可,6
那韦,6
能会,6
你发,6
你先,6
你真,6
黏连,6
泮托,6
偏高,6
平台,6
气短,6
潜伏期,6
轻微,6
人体,6
三个,6
三天,6
筛查,6
上面,6
烧心,6
肾脏,6
是否,6
蔬菜,6
太大,6
泰诺,6
碳酸,6
提供,6
天后,6
天有,6
通风,6
唾液,6
外出,6
外科,6
维化,6
维酸,6
问诊,6
雾化,6
洗澡,6
下来,6
消除,6
消瘦,6
新闻,6
信息,6
悬液,6
学接,6
学习,6
盐水,6
盐酸,6
颜色,6
以查,6
有呼,6
有聚,6
有时,6
增加,6
中性,6
中医,6
祝早,6
自愈,6
组织,6
昨天,6
作息,6
做咽,6
mg,5
阿斯,5
安慰,5
疤痕,5
拜复,5
本身,5
并且,5
玻璃,5
不少,5
不重,5
不足,5
查下,5
产生,5
吃饭,5
出汗,5
穿刺,5
吹风,5
等症,5
电脑,5
肚子,5
发生,5
发省,5
份来,5
负担,5
复乐,5
肝功,5
刚刚,5
高兴,5
个别,5
个药,5
沟通,5
国内,5
国外,5
过去,5
核菌,5
很难,5
后续,5
会好,5
会慢,5
即便,5
集一,5
几率,5
加号,5
加强,5
减量,5
结石,5
经验,5
旧性,5
就先,5
菌性,5
开始,5
来源,5
老年,5
里面,5
理论,5
利于,5
连花,5
两片,5
两天,5
留下,5
面对,5
那边,5
那样,5
能够,5
能力,5
你查,5
蒲地,5
气血,5
轻松,5
热水,5
人聚,5
上传,5
少数,5
神经,5
输液,5
数人,5
水多,5
松心,5
随访,5
太像,5
痰液,5
特效,5
提高,5
条件,5
调养,5
挺好,5
头疼,5
网上,5
危险,5
我会,5
吸入,5
希刻,5
小孩,5
心肌,5
心衰,5
性大,5
胸口,5
学会,5
血糖,5
血压,5
血液,5
血症,5
血脂,5
严格,5
研读,5
要想,5
医科,5
遗症,5
以到,5
以内,5
意大利,5
有事,5
愉快,5
愈合,5
孕妇,5
再去,5
再想,5
怎么样,5
怎样,5
长期,5
障碍,5
找点,5
这次,5
真有,5
至少,5
至于,5
质性,5
中国,5
中间,5
周二,5
周五,5
逐步,5
专科,5
状有,5
综合,5
足够,5
Ct,4
CTPA,4
DDimer,4
kg,4
SPOT,4
包装,4
保守,4
本书,4
必利,4
边治,4
扁桃,4
标本,4
波及,4
不变,4
不见,4
不排,4
部纤,4
测量,4
层口,4
查个,4
拆开,4
出院,4
除非,4
传播,4
葱水,4
村上,4
措施,4
大家,4
大事,4
大于,4
带着,4
递后,4
点止,4
动态,4
对安,4
对于,4
多长,4
发挥,4
发展,4
反酸,4
肺大,4
分泌,4
否则,4
改用,4
肝脏,4
刚才,4
告诉,4
咯血,4
给药,4
关键,4
关节,4
管舒,4
冠要,4
规定,4
过段,4
好心,4
盒后,4
回家,4
会出,4
机制,4
肌标,4
激发,4
及时,4
几个,4
加油,4
坚持,4
剑突,4
较长,4
解答,4
解毒,4
介入,4
进食,4
进一,4
就用,4
就有,4
开药,4
空洞,4
快乐,4
困惑,4
浪费,4
类似,4
疗边,4
疗程,4
临时,4
流程,4
流水,4
鲁司,4
麻烦,4
没给,4
每日,4
敏感,4
莫沙,4
哪里,4
囊炎,4
能否,4
你开,4
你用,4
年纪,4
黏膜,4
配合,4
皮肤,4
评估,4
起病,4
潜伏,4
轻型,4
轻症,4
情放,4
情紧,4
去测,4
去看,4
全些,4
人接,4
如何,4
乳期,4
上海,4
上级,4
上述,4
少度,4
少量,4
申请,4
身心,4
实际,4
食道,4
食欲,4
市中,4
思乱,4
搜索,4
素就,4
随便,4
随意,4
所有,4
痰药,4
特点,4
体炎,4
体重,4
条索,4
调理,4
途径,4
外地,4
完了,4
往往,4
危重,4
微小,4
维持,4
胃镜,4
胃痛,4
胃有,4
我给,4
我睡,4
我想,4
我有,4
吸九,4
习惯,4
洗液,4
喜剧,4
下次,4
下气,4
吓唬,4
先用,4
先有,4
相对,4
消毒,4
心功,4
辛辣,4
形成,4
胸腔镜,4
胸疼,4
溴索口,4
虚有,4
炎性,4
研究,4
药店,4
药敏,4
要紧,4
要用,4
移注,4
应用,4
有别,4
有刺,4
有过,4
有器,4
有人,4
有头,4
原来,4
远离,4
越来,4
早晨,4
榨性,4
蟑螂,4
照片,4
诊疗,4
志物,4
痔疮,4
周边,4
逐渐,4
主任,4
综合征,4
最多,4
最后,4
左腿,4
左下,4
做点,4
ml,3
PPD,3
氨酚,3
按压,3
白天,3
半年,3
伴有,3
包裹,3
包括,3
孢类,3
报销,3
鼻涕,3
必去,3
毕业,3
变动,3
标准,3
病因,3
补充,3
不彻,3
不单,3
不理,3
不良,3
不去,3
不全,3
不然,3
步查,3
才会,3
参考,3
操心,3
草片,3
测定,3
查出,3
成熟,3
吃感,3
充足,3
传染源,3
创伤,3
刺活,3
存活,3
搭界,3
达利,3
大多,3
大小,3
带过,3
带好,3
单看,3
当心,3
得到,3
得治,3
低氧,3
地能,3
定点,3
定路,3
毒药,3
毒症,3
毒治疗,3
对方,3
多病,3
多天,3
多笑,3
恶性,3
发上,3
发作,3
法治,3
反而,3
防止,3
放大,3
放射,3
肺窗,3
肺有,3
分病,3
分会,3
分散,3
分析,3
分险,3
分钟,3
纷乐,3
风湿,3
否是,3
否用,3
服抗,3
负荷,3
复感,3
复期,3
改好,3
钙化,3
肝囊,3
杆菌,3
感到,3
感冒症,3
感染性,3
感染者,3
感疫,3
肛门,3
港好,3
高反,3
高敏,3
给别,3
冠活,3
冠疫,3
灌洗,3
规范,3
国产,3
过血,3
还好,3
还算,3
孩子,3
含片,3
好事,3
合并,3
合剂,3
很快,3
喉炎,3
后出,3
忽悠,3
华山,3
话查,3
话得,3
灰尘,3
回国,3
回事,3
会传,3
会加,3
会痛,3
会诊,3
基因,3
激动,3
几乎,3
记住,3
既往,3
加点,3
家住,3
甲流,3
假如,3
减退,3
降温,3
缴费,3
接受,3
接听,3
结构,3
解除,3
解释,3
尽管,3
经历,3
经排,3
窘迫,3
纠结,3
纠正,3
就该,3
就能,3
就医,3
居家,3
居委,3
居住,3
莒县,3
具有,3
聚集,3
均衡,3
菌治疗,3
开头,3
开诊,3
看当,3
看要,3
康复,3
抗结,3
抗酸,3
科处,3
科与,3
咳出,3
可为,3
空气,3
快速,3
老板,3
了解,3
肋骨,3
利嗪片,3
利托,3
利咽,3
良好,3
两种,3
另外,3
留着,3
留置,3
流质,3
瘘口,3
瘘有,3
路国,3
洛匹,3
旅行,3
氯雷,3
买到,3
满意,3
慢好,3
美国,3
闷是,3
面诊,3
敏体,3
明书,3
摩罗丹,3
莫司,3
哪些,3
纳差,3
难以,3
脑部,3
能用,3
尿系,3
凝血,3
浓度,3
偶尔,3
平均,3
破裂,3
其次,3
气喘,3
气味,3
前来,3
前面,3
羟氯喹,3
清洁,3
清晰,3
清醒,3
区别,3
区域,3
全部,3
全国,3
染者,3
人可,3
人来,3
人免,3
日常,3
日照,3
如流,3
三醇,3
三点,3
三千,3
三种,3
上感,3
上午,3
神丸,3
神志,3
肾功,3
生脉,3
十多,3
实现,3
实验,3
似乎,3
收到,3
收缩,3
手机,3
舒张,3
双肺,3
水肿,3
睡前,3
四川,3
四肢,3
素后,3
损伤性,3
他定,3
他克,3
太少,3
太晚,3
泰能,3
特钠,3
特征,3
体虚,3
替芬,3
天气,3
条影,3
调节,3
停激,3
图像,3
吞咽,3
晚安,3
往有,3
维索,3
委员,3
味觉,3
胃病,3
胃肠,3
胃肠炎,3
胃寒,3
胃酸,3
胃丸,3
胃造,3
温高,3
文章,3
我好,3
我门,3
我明,3
我试,3
我院,3
我真,3
无关,3
无好,3
无明,3
无症,3
物理,3
误吸,3
吸入性,3
细节,3
瞎想,3
下看,3
先别,3
先查,3
先吃,3
先抗,3
先口,3
先去,3
先照,3
显发,3
线上,3
香砂养,3
享受,3
消失,3
消息,3
心率,3
新鲜,3
性酸,3
胸腔,3
胸外,3
休克,3
血象,3
压糖,3
严舒,3
养气,3
药房,3
药开,3
药要,3
夜过,3
夜间,3
一层,3
一旦,3
一家,3
一年,3
一切,3
一直,3
医结,3
乙流,3
乙酰,3
以加,3
以来,3
以下,3
以治,3
异物,3
抑郁症,3
阴影,3
用抗,3
有补,3
有个,3
有好,3
有明,3
原图,3
咱们,3
糟糕,3
早期,3
照泌,3
这边,3
这里,3
真想,3
诊卡,3
政民,3
症表,3
之间,3
值得,3
质加,3
中低,3
中毒,3
中西,3
终生,3
肿标,3
肿痛,3
种呼,3
重新,3
重者,3
周有,3
专委,3
专业,3
转就,3
状病,3
资源,3
总之,3
阻塞性,3
最高,3
最少,3
坐牢,3
做些,3
CRP,2
Igg,2
mm,2
阿司,2
安排,2
安心,2
按时,2
把胆,2
把注,2
半夜,2
帮忙,2
保养,2
备案,2
鼻喉,2
鼻咽,2
鼻子,2
比是,2
比值,2
必得,2
蝙蝠,2
变大,2
变得,2
变异,2
标志,2
表示,2
别熬,2
别担,2
别紧,2
别太,2
别在,2
病房,2
病历,2
病原,2
不必,2
不畅,2
不存,2
不发,2
不管,2
不急,2
不怕,2
不清,2
不疼,2
不通,2
不现,2
不想,2
不愿,2
才查,2
才行,2
才算,2
苍蝇,2
厕所,2
测体,2
查病,2
查呼,2
查结,2
查体,2
产后,2
肠道,2
常有,2
超声,2
成立,2
成药,2
程度,2
吃芬,2
吃够,2
吃坏,2
吃起,2
吃酮,2
吃头,2
吃退,2
充些,2
抽个,2
除心,2
储备,2
触点,2
喘气,2
喘息性,2
刺痛,2
村里,2
达到,2
答案,2
答复,2
打针,2
大学,2
代头,2
待查,2
担忧,2
胆结,2
胆囊,2
当时,2
到协,2
道德,2
道理,2
道症,2
得过,2
等候,2
等止,2
低落,2
低于,2
抵抗,2
地奈,2
第三,2
动量,2
动脉,2
短心,2
短症,2
断性,2
对冷,2
对性,2
多大,2
多见,2
恶变,2
而言,2
耳鼻,2
发表,2
发错,2
发的,2
发个,2
法新,2
烦躁,2
反可,2
方式,2
房间,2
非要,2
肺病,2
肺穿,2
肺好,2
肺内,2
肺泡,2
肺片,2
肺纹,2
肺纤,2
分辨,2
风机,2
否行,2
复工,2
覆盖,2
肝炎,2
干么,2
干燥,2
告有,2
个心,2
个症,2
各自,2
跟紧,2
攻击,2
巩固,2
共同,2
枸地,2
刮痧,2
挂起,2
冠肺,2
冠心,2
冠症,2
规报,2
规正,2
规中,2
过传,2
过带,2
过分,2
过抗,2
过速,2
孩体,2
孩咽,2
含漱,2
韩国,2
行病,2
行性,2
毫米,2
好些,2
喝洋,2
核治疗,2
很久,2
喉部,2
喉科,2
喉有,2
后果,2
后伤,2
后症,2
厚爱,2
呼气,2
护胃,2
滑动,2
滑液,2
化痰,2
话本,2
换头,2
换用,2
黄止,2
回报,2
回去,2
会导,2
会伤,2
会引,2
活动量,2
活检,2
机构,2
肌缺,2
肌体,2
积液,2
基酚,2
畸形,2
激作,2
极端,2
极少,2
急诊,2
既然,2
加服,2
加个,2
加上,2
加用,2
家多,2
家隔,2
家乱,2
家勤,2
家属,2
钾后,2
价值,2
间神,2
检验,2
减轻,2
健身,2
降到,2
降血,2
交叉,2
交感,2
交流,2
觉心,2
教授,2
结触,2
结束,2
解封,2
解理,2
解一,2
戒烟,2
仅供,2
进口,2
进入,2
经隔,2
经开,2
经痛,2
经照,2
荆银,2
晶体,2
就得,2
就服,2
就暂,2
具备,2
剧烈,2
聚体,2
军人,2
菌药,2
菌阴,2
开半,2
开好,2
看病,2
看点,2
看能,2
看一,2
看中,2
抗原,2
科哈,2
科会,2
科看,2
科室,2
科学,2
科研,2
可合,2
可靠,2
可用,2
空腹,2
口鼻,2
口干,2
口腔,2
溃疡,2
辣椒,2
来才,2
来头,2
蓝消,2
劳是,2
了护,2
类抗,2
理事,2
力会,2
利用,2
粒口,2
连着,2
联合,2
凉史,2
两层,2
谅解,2
疗法,2
疗效,2
灵口,2
流鼻涕,2
流动,2
乱骗,2
买头,2
买药,2
慢治,2
毛病,2
冒症,2
没办,2
没发,2
没感,2
没好,2
没啥,2
没特,2
没症,2
每年,2
每晚,2
镁加,2
闷痛,2
孟鲁,2
泌尿,2
秘书,2
免于,2
面积,2
明白,2
哪种,2
那得,2
那怕,2
那要,2
耐心,2
耐药,2
囊性,2
内脏,2
能好,2
能及,2
能口,2
你哺,2
你越,2
年期,2
诺酮,2
爬过,2
拍过,2
拍片,2
拍一,2
拍照,2
碰到,2
普唑,2
七项,2
其中,2
起免,2
起用,2
气促,2
气胸,2
迁延,2
前升,2
强大,2
抢救,2
切断,2
亲自,2
轻人,2
清开,2
情接,2
区接,2
趋化,2
趋势,2
取了,2
去查,2
去呼,2
去院,2
权衡,2
全面,2
确病,2
确接,2
确认,2
染源,2
热门,2
热为,2
热务,2
热药,2
人应,2
忍受,2
日本,2
如有,2
散注,2
沙芬,2
伤到,2
上腹,2
上火,2
上去,2
少见,2
少去,2
少上,2
少要,2
少用,2
社区,2
射线,2
射性,2
摄入,2
身高,2
什么样,2
升白,2
生病,2
生化,2
失常,2
失调,2
师傅,2
时到,2
时去,2
时要,2
实话,2
实有,2
使馆,2
似病,2
事儿,2
事干,2
事转,2
试一,2
试纸,2
视频,2
是别,2
适量,2
适应,2
适用,2
室内,2
受到,2
双腿,2
水平,2
水说,2
顺利,2
说血,2
司特,2
素片,2
素是,2
素用,2
素有,2
虽然,2
随其,2
他病,2
他抗,2
太短,2
太好,2
太较,2
太早,2
态好,2
坦然,2
特征性,2
腾片,2
提是,2
体检,2
体外,2
天才,2
天内,2
天用,2
调控,2
贴着,2
通窍,2
同事,2
痛等,2
痛药,2
痛有,2
头孢他啶,2
头发,2
头颅,2
突然,2
图文,2
推断,2
外面,2
完衣服,2
晚点,2
韦用,2
维生,2
维生素,2
胃肠道,2
胃疼,2
温水,2
问问,2
问有,2
我出,2
我敢,2
我购,2
我能,2
我怕,2
我现,2
我一,2
无红,2
无接,2
无咳,2
无疼,2
无效,2
无新,2
五天,2
物治疗,2
西苑,2
洗头,2
下面,2
下有,2
下肢,2
下注,2
先得,2
先多,2
先放,2
先服,2
先买,2
鲜血,2
显示,2
现场,2
现口,2
现气,2
现象,2
相信,2
想下,2
小便,2
小病,2
小而,2
小于,2
效药,2
心动,2
心梗,2
心冠,2
心律,2
心内,2
形式,2
型性,2
性粒,2
性哮,2
胸水,2
胸腺,2
宿主,2
虚弱,2
许纤,2
宣肺,2
压药,2
咽部,2
炎就,2
炎症性,2
洋葱,2
样子,2
摇一,2
药如,2
药伤,2
药应,2
要加,2
要命,2
也行,2
夜班,2
液病,2
腋窝,2
一包,2
一杯,2
一会,2
一级,2
一类,2
一粒,2
一起,2
一台,2
一氧化,2
伊曲,2
医全,2
遗留,2
疑疫,2
以发,2
以放,2
以换,2
以口,2
以免,2
以头,2
以问,2
以现,2
意见,2
意去,2
隐血,2
用布,2
用管,2
用护,2
用咽,2
用镇,2
有病,2
有部,2
有创,2
有大,2
有低,2
有发,2
有利,2
有流,2
有所,2
有想,2
有疫,2
有用,2
右美,2
诱发,2
诱因,2
预防,2
原则,2
愿意,2
运气,2
赞美,2
遭罪,2
早上,2
早晚,2
早早,2
增病,2
增大,2
增多,2
增高,2
粘膜,2
这段,2
着急,2
针对,2
真是,2
真心,2
诊看,2
镇静,2
镇上,2
征象,2
正忙,2
证明,2
之处,2
之类,2
只领,2
脂肪,2
脂肪瘤,2
直径,2
止咳,2
指新,2
痔疮膏,2
肿瘤性,2
重复,2
重视,2
主攻,2
煮熟,2
抓紧,2
转给,2
转阴,2
状大,2
状感,2
状了,2
状明,2
状前,2
状是,2
状腺,2
准确,2
阻肺,2
