V1,weight,dictlabel,,,,,
谢谢,300,1,,,,,
正常,290,1,,,,,
知道,266,1,,,,,
可以,182,1,,,,,
舒服,160,1,,,,,
感谢,138,1,,,,,
可能,89,1,,,,,
明显,86,1,,,,,
治疗,83,1,,,,,
主要,79,1,,,,,
肯定,56,1,,,,,
不用,55,1,,,,,
容易,54,1,,,,,
常规,43,1,,,,,
一样,40,1,,,,,
特别,39,1,,,,,
精神,35,1,,,,,
注意,29,1,,,,,
安全,26,1,,,,,
确定,26,1,,,,,
休息,23,1,,,,,
必要,22,1,,,,,
清楚,22,1,,,,,
确实,22,1,,,,,
放心,20,1,,,,,
明白,20,1,,,,,
改善,18,1,,,,,
自然,18,1,,,,,
稳定,16,1,,,,,
要紧,16,1,,,,,
其实,15,1,,,,,
希望,14,1,,,,,
合适,12,1,,,,,
发展,11,1,,,,,
方便,10,1,,,,,
还好,10,1,,,,,
说明,10,1,,,,,
天才,10,1,,,,,
通过,10,1,,,,,
完全,10,1,,,,,
有效,10,1,,,,,
顺畅,9,1,,,,,
推荐,9,1,,,,,
一定,8,1,,,,,
增加,8,1,,,,,
鼓励,7,1,,,,,
很快,7,1,,,,,
坚持,7,1,,,,,
进行,7,1,,,,,
专家,7,1,,,,,
准备,7,1,,,,,
安静,6,1,,,,,
安慰,6,1,,,,,
放松,6,1,,,,,
负责,6,1,,,,,
根本,6,1,,,,,
减轻,6,1,,,,,
健康,6,1,,,,,
解决,6,1,,,,,
考虑,6,1,,,,,
快乐,6,1,,,,,
理解,6,1,,,,,
平衡,6,1,,,,,
平静,6,1,,,,,
喜欢,6,1,,,,,
愿意,6,1,,,,,
自动,6,1,,,,,
保护,5,1,,,,,
达到,5,1,,,,,
锻炼,5,1,,,,,
关键,5,1,,,,,
基础,5,1,,,,,
经验,5,1,,,,,
相信,5,1,,,,,
小心,5,1,,,,,
专门,5,1,,,,,
帮助,4,1,,,,,
符合,4,1,,,,,
感动,4,1,,,,,
管用,4,1,,,,,
哈哈,4,1,,,,,
接受,4,1,,,,,
解除,4,1,,,,,
决定,4,1,,,,,
流行,4,1,,,,,
能力,4,1,,,,,
努力,4,1,,,,,
热乎,4,1,,,,,
实在,4,1,,,,,
温暖,4,1,,,,,
下饭,4,1,,,,,
详细,4,1,,,,,
有用,4,1,,,,,
愉快,4,1,,,,,
真实,4,1,,,,,
真正,4,1,,,,,
自行,4,1,,,,,
最佳,4,1,,,,,
标准,3,1,,,,,
大好,3,1,,,,,
红色,3,1,,,,,
良性,3,1,,,,,
密切,3,1,,,,,
热门,3,1,,,,,
热心,3,1,,,,,
适合,3,1,,,,,
正好,3,1,,,,,
中心,3,1,,,,,
爱心,2,1,,,,,
安心,2,1,,,,,
宝贵,2,1,,,,,
变好,2,1,,,,,
便利,2,1,,,,,
成功,2,1,,,,,
单纯,2,1,,,,,
弹性,2,1,,,,,
感激,2,1,,,,,
固定,2,1,,,,,
关心,2,1,,,,,
了解,2,1,,,,,
理性,2,1,,,,,
明明,2,1,,,,,
奇妙,2,1,,,,,
清晰,2,1,,,,,
清醒,2,1,,,,,
认真,2,1,,,,,
善意,2,1,,,,,
上好,2,1,,,,,
升起,2,1,,,,,
时机,2,1,,,,,
太好,2,1,,,,,
提高,2,1,,,,,
通畅,2,1,,,,,
通知,2,1,,,,,
突出,2,1,,,,,
完整,2,1,,,,,
伟大,2,1,,,,,
牺牲,2,1,,,,,
消除,2,1,,,,,
新鲜,2,1,,,,,
信心,2,1,,,,,
一级,2,1,,,,,
用心,2,1,,,,,
正面,2,1,,,,,
正确,2,1,,,,,
重要,2,1,,,,,
主动,2,1,,,,,
最好,2,1,,,,,
尊重,2,1,,,,,
爱人,1,1,,,,,
安眠,1,1,,,,,
按时,1,1,,,,,
本质,1,1,,,,,
不错,1,1,,,,,
畅快,1,1,,,,,
当面,1,1,,,,,
道理,1,1,,,,,
典型,1,1,,,,,
顶级,1,1,,,,,
辅助,1,1,,,,,
感恩,1,1,,,,,
刚好,1,1,,,,,
高超,1,1,,,,,
广阔,1,1,,,,,
好评,1,1,,,,,
会心,1,1,,,,,
紧紧,1,1,,,,,
精力,1,1,,,,,
开放,1,1,,,,,
科学,1,1,,,,,
联合,1,1,,,,,
亮丽,1,1,,,,,
谅解,1,1,,,,,
能动,1,1,,,,,
恰好,1,1,,,,,
前进,1,1,,,,,
清理,1,1,,,,,
认可,1,1,,,,,
如意,1,1,,,,,
嗜好,1,1,,,,,
特出,1,1,,,,,
特异,1,1,,,,,
天使,1,1,,,,,
统一,1,1,,,,,
习惯,1,1,,,,,
效率,1,1,,,,,
营养,1,1,,,,,
有力,1,1,,,,,
仔细,1,1,,,,,
在意,1,1,,,,,
掌握,1,1,,,,,
支援,1,1,,,,,
自主,1,1,,,,,
避免,0,-1,,,,,
对头,0,-1,,,,,
简单,0,-1,,,,,
苦苦,0,-1,,,,,
没事,0,-1,,,,,
敏感,0,-1,,,,,
悄悄,0,-1,,,,,
轻易,0,-1,,,,,
清淡,0,-1,,,,,
去除,0,-1,,,,,
有种,0,-1,,,,,
疤痕,-1,-1,,,,,
斑点,-1,-1,,,,,
被动,-1,-1,,,,,
绷紧,-1,-1,,,,,
变暗,-1,-1,,,,,
病根,-1,-1,,,,,
不断,-1,-1,,,,,
不胜,-1,-1,,,,,
不稳,-1,-1,,,,,
不准,-1,-1,,,,,
抽筋,-1,-1,,,,,
出气,-1,-1,,,,,
传染性,-1,-1,,,,,
创伤,-1,-1,,,,,
错过,-1,-1,,,,,
恶化,-1,-1,,,,,
二手,-1,-1,,,,,
发红,-1,-1,,,,,
发麻,-1,-1,,,,,
反弹,-1,-1,,,,,
反胃,-1,-1,,,,,
分开,-1,-1,,,,,
封闭,-1,-1,,,,,
辜负,-1,-1,,,,,
寒冷,-1,-1,,,,,
患病,-1,-1,,,,,
禁忌,-1,-1,,,,,
禁止,-1,-1,,,,,
剧烈,-1,-1,,,,,
坎坷,-1,-1,,,,,
苦难,-1,-1,,,,,
困境,-1,-1,,,,,
拉出,-1,-1,,,,,
老年,-1,-1,,,,,
冷汗,-1,-1,,,,,
流泪,-1,-1,,,,,
麻醉,-1,-1,,,,,
冒昧,-1,-1,,,,,
糜烂,-1,-1,,,,,
莫名,-1,-1,,,,,
骗子,-1,-1,,,,,
歧视,-1,-1,,,,,
蹂躏,-1,-1,,,,,
丧失,-1,-1,,,,,
伤口,-1,-1,,,,,
似乎,-1,-1,,,,,
受伤,-1,-1,,,,,
疏松,-1,-1,,,,,
体弱,-1,-1,,,,,
停顿,-1,-1,,,,,
停业,-1,-1,,,,,
危害,-1,-1,,,,,
萎缩,-1,-1,,,,,
狭窄,-1,-1,,,,,
下垂,-1,-1,,,,,
限制,-1,-1,,,,,
消瘦,-1,-1,,,,,
心急,-1,-1,,,,,
辛辣,-1,-1,,,,,
延缓,-1,-1,,,,,
延误,-1,-1,,,,,
严格,-1,-1,,,,,
疑难,-1,-1,,,,,
隐形,-1,-1,,,,,
原始,-1,-1,,,,,
障碍,-1,-1,,,,,
针刺,-1,-1,,,,,
质疑,-1,-1,,,,,
中断,-1,-1,,,,,
重压,-1,-1,,,,,
主观,-1,-1,,,,,
阻碍,-1,-1,,,,,
摆脱,-2,-1,,,,,
抱歉,-2,-1,,,,,
爆发,-2,-1,,,,,
冰冷,-2,-1,,,,,
不得,-2,-1,,,,,
不加,-2,-1,,,,,
不理,-2,-1,,,,,
不明,-2,-1,,,,,
不如,-2,-1,,,,,
不受,-2,-1,,,,,
承受,-2,-1,,,,,
冲突,-2,-1,,,,,
充血,-2,-1,,,,,
脆弱,-2,-1,,,,,
错失,-2,-1,,,,,
打出,-2,-1,,,,,
淡漠,-2,-1,,,,,
低下,-2,-1,,,,,
抵抗,-2,-1,,,,,
对抗,-2,-1,,,,,
烦恼,-2,-1,,,,,
烦死,-2,-1,,,,,
复杂,-2,-1,,,,,
搞乱,-2,-1,,,,,
故意,-2,-1,,,,,
恍惚,-2,-1,,,,,
昏沉,-2,-1,,,,,
畸形,-2,-1,,,,,
急促,-2,-1,,,,,
惊醒,-2,-1,,,,,
警惕,-2,-1,,,,,
痉挛,-2,-1,,,,,
惧怕,-2,-1,,,,,
苦口,-2,-1,,,,,
溃疡,-2,-1,,,,,
没得,-2,-1,,,,,
没劲,-2,-1,,,,,
没收,-2,-1,,,,,
模糊,-2,-1,,,,,
破坏,-2,-1,,,,,
强制,-2,-1,,,,,
缺乏,-2,-1,,,,,
人为,-2,-1,,,,,
忍受,-2,-1,,,,,
蠕动,-2,-1,,,,,
生怕,-2,-1,,,,,
失望,-2,-1,,,,,
疏忽,-2,-1,,,,,
死人,-2,-1,,,,,
损害,-2,-1,,,,,
损失,-2,-1,,,,,
瘫痪,-2,-1,,,,,
逃避,-2,-1,,,,,
痛苦,-2,-1,,,,,
拖着,-2,-1,,,,,
外来,-2,-1,,,,,
无关,-2,-1,,,,,
无奈,-2,-1,,,,,
无语,-2,-1,,,,,
无助,-2,-1,,,,,
误诊,-2,-1,,,,,
现实,-2,-1,,,,,
陷入,-2,-1,,,,,
消灭,-2,-1,,,,,
虚弱,-2,-1,,,,,
意外,-2,-1,,,,,
阴影,-2,-1,,,,,
隐性,-2,-1,,,,,
有害,-2,-1,,,,,
郁闷,-2,-1,,,,,
杂乱,-2,-1,,,,,
糟糕,-2,-1,,,,,
辗转,-2,-1,,,,,
肿痛,-2,-1,,,,,
阻塞,-2,-1,,,,,
变态,-3,-1,,,,,
不管,-3,-1,,,,,
操心,-3,-1,,,,,
恶性,-3,-1,,,,,
负荷,-3,-1,,,,,
搞得,-3,-1,,,,,
过度,-3,-1,,,,,
过敏,-3,-1,,,,,
过气,-3,-1,,,,,
荒谬,-3,-1,,,,,
空腹,-3,-1,,,,,
连累,-3,-1,,,,,
没想,-3,-1,,,,,
胖子,-3,-1,,,,,
屁股,-3,-1,,,,,
频繁,-3,-1,,,,,
求助,-3,-1,,,,,
尚未,-3,-1,,,,,
头晕,-3,-1,,,,,
微弱,-3,-1,,,,,
抑制,-3,-1,,,,,
着急,-3,-1,,,,,
中毒,-3,-1,,,,,
悲剧,-4,-1,,,,,
不定,-4,-1,,,,,
不起,-4,-1,,,,,
不下,-4,-1,,,,,
不住,-4,-1,,,,,
痴呆,-4,-1,,,,,
刺激,-4,-1,,,,,
对付,-4,-1,,,,,
发抖,-4,-1,,,,,
发软,-4,-1,,,,,
烦躁,-4,-1,,,,,
辐射,-4,-1,,,,,
负担,-4,-1,,,,,
攻击,-4,-1,,,,,
激动,-4,-1,,,,,
竟然,-4,-1,,,,,
困扰,-4,-1,,,,,
裂口,-4,-1,,,,,
冒险,-4,-1,,,,,
贸然,-4,-1,,,,,
没救,-4,-1,,,,,
呕吐,-4,-1,,,,,
生病,-4,-1,,,,,
所谓,-4,-1,,,,,
退化,-4,-1,,,,,
忘记,-4,-1,,,,,
为难,-4,-1,,,,,
污染,-4,-1,,,,,
吓人,-4,-1,,,,,
嫌弃,-4,-1,,,,,
压抑,-4,-1,,,,,
压制,-4,-1,,,,,
严峻,-4,-1,,,,,
疑问,-4,-1,,,,,
自我,-4,-1,,,,,
出错,-5,-1,,,,,
刺痛,-5,-1,,,,,
活动,-5,-1,,,,,
降低,-5,-1,,,,,
奇怪,-5,-1,,,,,
有气,-5,-1,,,,,
怎样,-5,-1,,,,,
崩溃,-6,-1,,,,,
不宁,-6,-1,,,,,
不足,-6,-1,,,,,
超过,-6,-1,,,,,
干燥,-6,-1,,,,,
加重,-6,-1,,,,,
恐怖,-6,-1,,,,,
恐慌,-6,-1,,,,,
没法,-6,-1,,,,,
强迫,-6,-1,,,,,
伤害,-6,-1,,,,,
衰竭,-6,-1,,,,,
损伤,-6,-1,,,,,
紊乱,-6,-1,,,,,
疑虑,-6,-1,,,,,
折磨,-6,-1,,,,,
癌症,-7,-1,,,,,
巴结,-7,-1,,,,,
不出,-7,-1,,,,,
发作,-7,-1,,,,,
疙瘩,-7,-1,,,,,
毛病,-7,-1,,,,,
要求,-7,-1,,,,,
隐隐,-7,-1,,,,,
不安,-8,-1,,,,,
不够,-8,-1,,,,,
不清,-8,-1,,,,,
不长,-8,-1,,,,,
发炎,-8,-1,,,,,
费力,-8,-1,,,,,
劳累,-8,-1,,,,,
没去,-8,-1,,,,,
没用,-8,-1,,,,,
徘徊,-8,-1,,,,,
神经,-8,-1,,,,,
随便,-8,-1,,,,,
疑心,-8,-1,,,,,
肿瘤,-8,-1,,,,,
不行,-9,-1,,,,,
不见,-9,-1,,,,,
不良,-9,-1,,,,,
恶心,-9,-1,,,,,
失常,-9,-1,,,,,
衰弱,-9,-1,,,,,
下降,-9,-1,,,,,
有病,-9,-1,,,,,
潜伏,-10,-1,,,,,
压迫,-10,-1,,,,,
抑郁,-10,-1,,,,,
完了,-11,-1,,,,,
不着,-12,-1,,,,,
恐惧,-12,-1,,,,,
口渴,-12,-1,,,,,
无法,-12,-1,,,,,
用力,-12,-1,,,,,
疼痛,-15,-1,,,,,
不适,-16,-1,,,,,
不像,-16,-1,,,,,
辛苦,-16,-1,,,,,
压力,-17,-1,,,,,
空洞,-18,-1,,,,,
复发,-23,-1,,,,,
不知,-26,-1,,,,,
打扰,-26,-1,,,,,
反复,-27,-1,,,,,
难受,-28,-1,,,,,
危险,-28,-1,,,,,
头痛,-30,-1,,,,,
突然,-31,-1,,,,,
无力,-33,-1,,,,,
东西,-36,-1,,,,,
异常,-38,-1,,,,,
可怕,-39,-1,,,,,
不要,-40,-1,,,,,
厉害,-40,-1,,,,,
老是,-44,-1,,,,,
慢性,-48,-1,,,,医生,928
失眠,-50,-1,,,,病人,1843
疾病,-51,-1,,,,,
传染,-53,-1,,,,,
困难,-54,-1,,,,,
怀疑,-60,-1,,,,,
隔离,-64,-1,,,,,
害怕,-68,-1,,,,,
心慌,-68,-1,,,,,
不能,-69,-1,,,,,
发热,-69,-1,,,,,
不到,-90,-1,,,,,
发烧,-96,-1,,,,,
麻烦,-144,-1,,,,,
不好,-156,-1,,,,,
感冒,-159,-1,,,,,
不会,-165,-1,,,,,
感染,-186,-1,,,,,
紧张,-186,-1,,,,,
焦虑,-252,-1,,,,,
担心,-322,-1,,,,,
问题,-370,-1,,,,,
严重,-429,-1,,,,,
,-1843,-129,,,,,
